CPU utilization for five seconds: 27%/3%; one minute: 16%; five minutes: 11%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
 374 Mwe 41E573F8            0          2       0 5496/6000   0 Dot1x Supplicant
 375 Mwe 41E5117C            0          2       0 5504/6000   0 Dot1x Supplicant
 376 Mwe 41EB5B98            0          2       0 5576/6000   0 ECFM HA IPC flow
 377 Mwe 42975768       239552  190500796       110268/12000  0 L3 Manager      
 378 Mwe 429753E4            0         20       0 4992/6000   0 L3 Manager Commo
 379 Mwe 41F35964       597276  200294193       296568/100000  0 FM core         
 380 Lwe 41F45B70            0          1       0 5600/6000   0 Probe Input     
 381 Mwe 41F8B918            0          1       0 5596/6000   0 Netflow XDR Mana
 382 Mwe 41F919A4        19788      61698     320 5600/6000   0 RARP Input      
 383 Hwe 42053DA0            0          1       0 5580/6000   0 PAD InCall      
 384 Mwe 421EFAD0            0          2       011508/12000  0 X.25 Background 
 385 Lwe 421EDD60            0          1       0 5268/6000   0 X.25 Encaps Mana
 386 Mwe 406B79F0            0          1       0 5568/6000   0 EM Action CNS   
 387 Mwe 425893D0     34347380   95166832     36011460/12000  0 HIDDEN VLAN Proc
 388 Mwe 425B7358            0          1       0 5528/6000   0 CWAN LTL manager
 389 Mwe 425C0B48            0          1       0 5772/6000   0 CWAN-RP SCP Proc
 390 Mwe 425BC49C            0         29       0 4580/6000   0 CWAN-RP SCP Inpu
 391 Mwe 4293C96C            0         20       0 5504/6000   0 IPHC RP Process 
 392 Mwe 40CCC974            0          3       0 4972/6000   0 L2TRACE SERVER  
 393 Mwe 42A6F93C            0          1       0 5600/6000   0 MLSM-CC Process 
 394 Mwe 42AD1778            0          2       0 5504/6000   0 MWAM_CONSOLE Tim
 395 Mwe 42C55B48            0          2       0 5524/6000   0 CWPA QoS        
 396 Mwe 42E26290            0          2       0 5428/6000   0 Const TCAM Mgr R
 397 Mwe 42ECBAA4            0          1       0 5592/6000   0 ATM HA AC       
 398 Mwe 430A61B0            0          1       0 5584/6000   0 CMFI VPN HA Proc
 399 Mwe 4179B150            0          1       0 5600/6000   0 Crypto PAS Proc 
 400 Hwe 430A7D2C            0          1       0 5548/6000   0 Crypto HW Proc  
 401 Mwe 4029D854            0          1       0 5756/6000   0 EPM MAIN PROCESS
 402 Mwe 4068F2E0            0          1       0 5596/6000   0 EM Background Pr
 403 Mwe 40DCF808            8        214      37 5008/6000   0 LOCAL AAA       
 404 Mwe 40DD1754            0          2       0 5532/6000   0 ENABLE AAA      
 405 Mwe 40DD1B68            0          2       0 5532/6000   0 LINE AAA        
 406 Mwe 41008928      1216168 1629834034       0 5208/6000   0 RADIUS          
 407 Mwe 40316A98        51668  185852118       0 7712/9000   0 BGP Scheduler   
 408 Mwe 41377EEC       131280     539630     243 4284/6000   0 TPLUS           
 409 Mwe 41F0DEF0            0         19       0 5108/6000   0 CEF RP IPC Backg
 410 Mwe 42569DDC            0          1       0 5556/6000   0 CWAN OIR IPC Rea
 411 Mwe 41768E14            0          2       0 5516/6000   0 Crypto Support  
 412 Mwe 41ABD51C            0         12       0 5724/6000   0 MPLS Auto Mesh P
 413 Lwe 41495ED0            8         12     666 4896/6000   0 crypto engine pr
 414 Mwe 4148CC24            0          1       0 5584/6000   0 encrypt proc    
 415 Mwe 414C7ACC            4          7     571 5708/8000   0 Crypto CA       
 416 Mwe 414C7C64            0          1       011580/12000  0 Crypto PKI-CRL  
 417 Mwe 4151083C            0          1       0 7608/8000   0 Crypto SSL      
 418 Mwe 417960B8            0          4       022232/24000  0 Crypto ACL      
 419 Mwe 417AB5F4            0          1       0 5600/6000   0 Crypto INT      
 420 Mwe 417EA920            0          2       011504/12000  0 Crypto IKE Dispa
 421 Mwe 417E031C            0          3       011144/12000  0 Crypto IKMP     
 422 Mwe 4187F2E8        72980    9510096       7 9756/12000  0 IPSEC key engine
 423 Mwe 4188009C            0          1       0 5748/6000   0 IPSEC manual key
 424 Mwe 41767EE8            0          1       0 7572/8000   0 Key Proc        
 425 Mwe 41D81BF0            0          1       0 5612/6000   0 CCSWVOICE       
 426 Mwe 4211DB84            8          1    8000 5572/6000   0 Laminar Icc Even
 427 Mwe 420FFE94            0          2       0 5516/6000   0 Laminar Config C
 428 Mwe 420F2318            0          2       010984/12000  0 SLB Main CPU pro
 429 Mwe 431174D4            0          2       0 5516/6000   0 Lawful Intercept
 430 Mwe 4311C910            0          2       0 5516/6000   0 LI messaging    
 431 Mwe 43117098            0          1       0 5580/6000   0 LI C6K          
 432 Mwe 43116DD0            0          1       0 5580/6000   0 LI C6K PROV     
 433 Mwe 403FCD70            0          1       0 5600/6000   0 DATA Transfer Pr
 434 Mwe 403FABD4            0          1       0 5560/6000   0 DATA Collector  
 435 Mwe 404E5B14         5104      79634      64 4284/6000   0 AAA SEND STOP EV
 436 Mwe 406FD9E8            0          2       0 8420/9000   0 EEM ED Track    
 437 Mwe 40DC5F9C            0          1       0 5564/6000   0 L3MM Process    
 438 Mwe 412E7C50       339056     105249    3221 4328/6000   0 Syslog Traps    
 440 Mwe 416D1C60            0          2       0 5536/6000   0 CTS HA          
 441 Lwe 41DE6788            0          1       0 5580/6000   0 SONET Traps     
 442 Hwe 42CAEE8C            0         20       0 8504/9000   0 RPC aapi_rp     
 443 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC c6k_autoshut
 444 Lwe 422BEB60          104        113     920 3356/6000   0 Entity MIB C6k P
 445 Mwe 422D6818            0          2       0 4828/6000   0 Cat6k NTI RP Exa
 446 Mwe 407CAF94        90644    3186798      28 5320/6000   0 Call Home Timer 
 447 Mwe 41A5DFD0         3112     105763      29 4868/6000   0 Tagcon Addr     
 448 Mwe 42305B24            0          2       0 5516/6000   0 Module enable-di
 449 Hwe 42CAEE8C          124        128     968 7916/9000   0 RPC c6k_power_rp
 450 Hwe 42312D0C            0          1       0 5572/6000   0 vs_power_rp ICC 
 451 Hwe 42CAEE8C          112        159     704 7116/9000   0 RPC c6k_rp_envir
 452 Hwe 423175B8            0          1       0 5576/6000   0 vs_rp_environmen
 453 Hwe 42CAEE8C            0          3       0 8504/9000   0 RPC chapi_rp    
 454 Mwe 4238A774            0          1       0 5564/6000   0 CONST AFL       
 455 Hwe 42CAEE8C            0         12       0 7920/9000   0 RPC c6k_oversubs
 456 Mwe 425FEE44            0          2       0 5504/6000   0 WiSM Process    
 457 Mwe 42661970            0          2       0 5236/6000   0 Rommon upgrade p
 458 Hwe 42CAEE8C          192        996     192 7920/9000   0 RPC sw_vlan_rp  
 459 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC sw_backup_in
 460 Hwe 42CAEE8C          940       4669     201 7524/9000   0 RPC capi_rp     
 461 Hwe 42CAEE8C         1128       7044     160 7920/9000   0 RPC stp_sp2mp_ap
 462 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC span_switch_
 463 Hwe 42CAEE8C        11628      52677     220 6724/9000   0 RPC pm_switch_sp
 464 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC mvrp_sp2rp  
 465 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC c6k_stack_mi
 466 Hwe 426B6470            0          1       0 5572/6000   0 vs_stack_mib_sp 
 467 Hwe 42CAEE8C     31340400  231281108     135 7920/9000   0 RPC online_diag_
 468 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC online_wan_d
 469 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC pt_switch_sp
 470 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC psecure_rp  
 471 Hwe 42CAEE8C         1644      52458      31 8504/9000   0 RPC qnq_switch_s
 472 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC rf_cli_sp2rp
 473 Hwe 42CAEE8C         6060      56726     106 8268/9000   0 RPC dot1x_aaa_rp
 474 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC epld_sp2rp  
 475 Hwe 42CAEE8C           40         57     701 6848/9000   0 RPC pagp_switch_
 476 Hwe 42CAEE8C          256       1208     211 7916/9000   0 RPC vtp_const_ap
 477 Hwe 42CAEE8C            0          4       0 7916/9000   0 RPC udld_rp     
 478 Hwe 42CAEE8C            0         22       0 8400/9000   0 RPC snmp_stackli
 479 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC snmp_notify 
 480 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC ether_oam_sp
 481 Hwe 42CAEE8C          112        748     149 7920/9000   0 RPC idbman_sp2mp
 482 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC dot1ad_sp2mp
 483 Hwe 4273B0FC         5440   31697741       0 5512/6000   0 RP Error Detecti
 484 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC error_detect
 485 Mwe 428944AC            0          1       0 5596/6000   0 HW Capacity ICC 
 486 Mwe 429271A4            0          2       0 5532/6000   0 ICRM            
 487 Hwe 42CAEE8C            0          2       0 8364/9000   0 RPC icrm_sp2rp  
 488 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC itasca_rp   
 489 Mwe 429510A4            0          1       0 5516/6000   0 RP L2 Applicatio
 490 Hwe 42CAEE8C       161892    1507463     107 7920/9000   0 RPC l2_macmove_s
 491 Mwe 4298FA00            4         10     400 5420/6000   0 LACP-MP Process 
 492 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC mlacp_sp2mp 
 493 Mwe 42AA89F4        32676     103966     314 4596/6000   0 Online Diag EEM 
 494 Mwe 42AABCA4            0         10       0 5596/6000   0 PAgP-MP Process 
 495 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC pclc_g2_agsm
 496 Hwe 42CAEE8C          620        204    3039 7964/9000   0 RPC pclc_g2_fw_r
 497 Hwe 42B08140        19440     105083     184 3656/6000   0 Logger ICC Proce
 498 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC pf_issu_sp2r
 499 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC pikachu_rp  
 500 Mwe 41659D58         8920     105729      8410908/12000  0 SSH Event handle
 501 Hwe 42CAEE8C       122840     291792     420 6704/9000   0 RPC pm-mp       
 502 Mwe 42B97004       796536 3613199865       0 5580/6000   0 PM Callback     
 503 Msa 42BC1D70    988963480 1829486282     540 4516/6000   0 Port manager per
 504 Msa 42BC1AC4        54144   38040220       1 5456/6000   0 Max CPU utilizat
 505 Mwe 42C2CED0         1124       1084    103656308/60000  0 QM Process on RP
 506 Mwe 42C0D5E4         3212       1242    2586 2708/6000   0 QM Looper Proces
 507 Mwe 42C2E8EC            4        146      2759544/60000  0 QM Reply Process
 508 Mwe 42C2ECAC            0          2       059536/60000  0 QM Timer ACL Pro
 509 Mwe 42C6DC94            0          1       0 5516/6000   0 LC Registry Expo
 510 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC rep_sp2rp_ap
 511 Hwe 42CAEE8C            4         29     137 7552/9000   0 RPC lcc_sp      
 512 Hwe 42CAEE8C            0          8       0 7592/9000   0 RPC fabman_sp   
 513 Hwe 42CA24A8            0          1       0 5576/6000   0 vs_fabman_sp ICC
 514 Mwe 42CABC30           48      52872       0 5484/6000   0 rp to lc clock u
 515 Mwe 42CCD26C            8          1    8000 5580/6000   0 SeaErrorLogProc 
 516 Msi 42CCF43C        56484   38040306       1 4612/6000   0 SEA Console RP P
 517 Lwe 42D85F70        84608    3171370      26 5584/6000   0 SPA ENTITY Proce
 518 ME  40E47528      4692420  394981768      11 7164/9000   0 OSPF-1 Router   
 519 Mwe 42DC07B0            0          2       0 5516/6000   0 SPAN Capture    
 520 Hwe 42DFF754           12         34     35221964/24000  0 EC-Card-Cfg     
 521 Hwe 42CAEE8C            0          2       0 8500/9000   0 RPC trifecta_rp 
 522 Hwe 42CAEE8C            0          2       0 8504/9000   0 RPC vs_prov_lc_r
 523 Mwe 406E0128           32        241     132 3276/6000   0 EEM Server      
 524 Mwe 406D185C            0          2       0 5392/6000   0 EEM Policy Direc
 525 Mwe 406FD9E8            0          3       0 8424/9000   0 EEM ED CLI      
 526 Mwe 406FD9E8            0          3       0 8424/9000   0 EEM ED Counter  
 527 Mwe 406FD9E8            0          3       0 8420/9000   0 EM ED GOLD      
 528 Mwe 406FD9E8            0          3       0 8420/9000   0 EEM ED Interface
 529 Mwe 406FD9E8            0          3       0 8420/9000   0 EEM ED IOSWD    
 530 Mwe 406FD9E8            0          3       0 8424/9000   0 EEM ED None     
 531 Mwe 406FD9E8            0          3       0 8424/9000   0 EEM ED OIR      
 532 Mwe 40713CB4            0          5       0 8212/9000   0 EEM ED RF       
 533 Mwe 406FD9E8            0          3       0 8412/9000   0 EEM ED SNMP     
 534 Mwe 4071BD60            0          2       0 8448/9000   0 EEM ED Snmp_Prox
 535 Mwe 406FD9E8         1044    4764496       0 8200/9000   0 EEM ED Timer    
 536 Mwe 406FD9E8            0          3       0 8420/9000   0 EEM ED Test     
 537 Mwe 406FD9E8            0          3       0 8424/9000   0 EEM ED Config   
 538 Mwe 406FD9E8            0          3       0 8424/9000   0 EEM ED Env      
 539 Mwe 407CB1F4           24          2   12000 4928/6000   0 Call Home proces
 540 Mwe 41172570            0          1       0 5764/6000   0 IP SLAs MPLSLM P
 541 Mwe 4117ED20            0          1       0 5776/6000   0 IP SLAs Ethernet
 542 Mwe 4117EF90            0          1       0 5564/6000   0 IP SLA AutoEther
 543 Mwe 406FD9E8            0          2       0 8424/9000   0 EEM ED RPC      
 544 Hwe 416C24D0            0          2       0 5448/6000   0 CTS credentials 
 545 Mwe 4170331C            4         23     17311080/12000  0 RBM CORE        
 546 Mwe 41F751AC        55132     167530     32910164/12000  0 Syslog          
 547 Mwe 4148BCFC     24382436    2023028   12052 6388/8000   0 crypto sw pk pro
 548 Mwe 425597C4            0         11       0 5516/6000   0 CWAN Bridge task
 549 Mwe 425EE1D4            0          1       0 5756/6000   0 DHCP SNOOP HOST 
 550 Mwe 425EBE3C            0          1       0 5600/6000   0 DHCP Snooping Sw
 551 Mwe 42A9E75C            0          1       0 5584/6000   0 Online Diag CNS 
 552 Mwe 42A9E628            0          1       0 5584/6000   0 Online Diag CNS 
 553 Mwe 42C783D4            0          2       0 5500/6000   0 REP RP Proc     
 554 Mwe 42CD7B0C           44        498      8859516/60000  0 SIP10G QM Proces
 555 Mwe 42CF6EC0            0          2       059536/60000  0 SIP10g QM Reply 
 556 Mwe 42CD5BEC            0          2       059532/60000  0 SIP10G QM Timer 
 557 Mwe 42E54010        50872    3170175      16 5584/6000   0 VACL Logger     
 558 Mwe 41F6EB68    404785488 3692587381     109 9816/12000  0 IP SNMP         
 559 Lrd 4121CE40    176344752 1865939121      9411064/12000  0 PDU DISPATCHER  
 560 Lrd 4121C8D8   2124854664 1659497792    1280 8236/12000  0 SNMP ENGINE     
 561 Mwe 41F70F4C            0          2       011332/12000  0 IP SNMPV6       
 562 Lwe 4049E4D4      8906240    6662548    1336 7640/12000  0 SNMP ConfCopyPro
 563 Mwe 4122D508       140816     101045    139310060/12000  0 SNMP Traps      
 564 Mwe 41937418        81676   38046052       210840/12000  0 LSD Main Proc   
 565 Lwe 4195716C      7205948   19020095     378 4708/6000   0 MFI LFD Stats Pr
 566 Mwe 41956D4C        96104   35893546       210444/12000  0 MFI LFD Timer Pr
 567 Mwe 41956BAC            0          3       0 5392/6000   0 MFI LFD Main Pro
 568 Mwe 42425140            0          1       0 8580/9000   0 IF Dampening    
 569 Lwe 41BAFDAC            0          6       0 4848/6000   0 LSP Verification
 570 Mwe 41B884A8       368784  190260111       1 5640/6000   0 MPLS HC Counter 
 571 Mwe 41A733FC       431796    3204302     134 5548/6000   0 LDP Background  
 572 Mwe 4173F2DC           68       1347      50 4596/6000   0 AC Mgr          
 573 Mwe 41BCC684          992      10695      92 3852/6000   0 AToM manager    
 574 Mwe 41BE0A30          204       2129      95 4008/6000   0 AToM LDP manager
 575 Mwe 41A6FC64      6011208   92827189      64 4104/6000   0 LDP             
 576 Mwe 41A6DED8     27178656  412599208      65 4680/6000   0 TDP Hello       
 577 Mwe 41A5CD14      1622384   87392230      18 7656/12000  0 Tag Control     
 578 Mwe 40C91910            8          4    2000 8552/9000   0 IP MPLS Service 
 579 Mwe 41A17ED0         1900    3172242       0 9444/12000  0 IPRM            
 580 Mwe 40301140      2827188   59810891      47 7208/9000   0 BGP I/O         
 581 Lwe 40CBDF28           24       1631      14 5756/6000   0 TCP Listener    
 582 Mwe 41B788C8         1024      52517      19 4904/6000   0 MPLS MIB traps  
 583 Mwe 40E3D228       202344  191939348       1 8324/12000  0 NTP             
 584 Lwe 4295F0D8        32008     850178      37 5012/6000   0 L2 MMC Process  
 585 Lwe 40759EF8         6076       9904     613 8612/12000  0 Collection proce
 586 Mwe 403173F8      2799856   50717459      55 5456/9000   0 BGP Router      
 587 Lwe 4030CFC8     86507964   13099159    6604 5652/9000   0 BGP Scanner     
 588 Mwe 41080698            0          2       023192/24000  0 RSVP            
 589 Mwe 40D3283C       124168    6441357      19 8592/9000   0 IPv6 IDB        
 590 Mwe 40D40160            0          3       0 8560/9000   0 IPv6 RIB Redistr
 591 Mwe 40AA30FC       201420  761566800       010416/12000  0 MLD             
 592 Mwe 40D1734C       100940    3195136      31 5572/6000   0 IPv6 Input      
 593 Mwe 40D0FF3C            0          5       0 4252/6000   0 IPv6 ND         
 594 ME  40E48AD0    164422200 3687636732      44 7536/9000   0 OSPF-1 Hello    
